0,2166
1,904
2,638
3,428
4,326
5,235
6,207
7,157
8,139
9,122
10,95
11,87
12,76
13,82
14,71
15,63
16,58
17,62
18,45
19,64
20,53
21,61
22,47
23,36
24,46
25,55
26,50
27,43
28,54
29,45
30,49
31,55
32,52
33,65
34,41
35,83
36,87
37,71
38,101
39,136
40,169
41,150
42,81
43,64
44,56
45,55
46,61
47,52
48,62
49,49
50,46
51,42
52,35
53,27
54,40
55,46
56,32
57,49
58,37
59,48
60,47
61,51
62,67
63,91
64,70
65,85
66,66
67,71
68,70
69,58
70,62
71,52
72,55
73,67
74,56
75,71
76,100
77,109
78,116
79,130
80,144
81,166
82,207
83,249
84,368
85,474
86,695
87,925
88,1206
89,1173
90,1075
91,701
92,430
93,274
94,228
95,146
96,126
97,99
98,74
99,48
100,76
101,48
102,45
103,38
104,44
105,33
106,33
107,42
108,48
109,53
110,42
111,43
112,38
113,38
114,33
115,37
116,32
117,27
118,22
119,17
120,41
121,33
122,26
123,47
124,49
125,43
126,47
127,53
128,72
129,109
130,139
131,120
132,84
133,63
134,52
135,37
136,49
137,55
138,37
139,39
140,32
141,34
142,43
143,39
144,37
145,41
146,40
147,49
148,76
149,88
150,72
151,65
152,45
153,47
154,35
155,51
156,55
157,44
158,57
159,41
160,51
161,84
162,46
163,65
164,67
165,68
166,78
167,113
168,127
169,159
170,171
171,203
172,292
173,418
174,453
175,658
176,840
177,1286
178,1561
179,2270
180,2286
181,956
182,598
183,429
184,369
185,275
186,229
187,163
188,139
189,108
190,83
191,93
192,71
193,58
194,60
195,72
196,65
197,50
198,35
199,57
200,64
201,52
202,34
203,51
204,58
205,42
206,45
207,46
208,46
209,55
210,48
211,42
212,58
213,56
214,63
215,64
216,68
217,87
218,93
219,162
220,188
221,113
222,85
223,105
224,93
225,63
226,66
227,60
228,48
229,53
230,40
231,45
232,36
233,40
234,43
235,34
236,37
237,34
238,41
239,50
240,48
241,68
242,57
243,78
244,77
245,75
246,78
247,87
248,91
249,68
250,79
251,63
252,54
253,70
254,75
255,72
256,92
257,81
258,100
259,135
260,135
261,151
262,217
263,261
264,362
265,418
266,620
267,941
268,1219
269,1303
270,1026
271,699
272,469
273,312
274,241
275,176
276,115
277,101
278,114
279,78
280,63
281,55
282,46
283,32
284,44
285,54
286,47
287,50
288,45
289,61
290,44
291,54
292,40
293,38
294,42
295,43
296,47
297,42
298,21
299,26
300,31
301,38
302,32
303,47
304,47
305,31
306,35
307,57
308,56
309,75
310,95
311,100
312,74
313,74
314,61
315,59
316,65
317,54
318,49
319,49
320,46
321,41
322,50
323,48
324,47
325,61
326,49
327,73
328,76
329,83
330,71
331,66
332,63
333,53
334,49
335,52
336,49
337,49
338,56
339,43
340,48
341,59
342,67
343,66
344,68
345,74
346,88
347,109
348,128
349,155
350,177
351,228
352,309
353,393
354,485
355,608
356,875
357,1239
358,1517
359,2149
